id,product_name,buy_date,price,expiration_date
81,applewood bacon,2023-06-22,5.0,2023-08-20
82,greek yogurt,2023-08-22,6.35,2023-10-11
83,jabuticaba,2023-08-10,4.04,2023-10-12
84,cheeseburger,2023-06-26,0.92,2023-09-02
85,complan powder,2023-07-04,7.69,2023-09-08
86,salt,2023-07-12,8.43,2023-10-16
87,boysenberry,2023-07-25,3.36,2023-09-13
88,spinach,2023-06-16,8.37,2023-09-10
89,passion fruit juice,2023-07-19,4.48,2023-09-18
90,canola,2023-07-11,6.35,2023-09-26
91,flat bread,2023-08-08,1.42,2023-08-22
92,bacardi,2023-06-09,6.69,2023-07-30
93,elderberry,2023-07-02,6.7,2023-08-08
94,ginger ale,2023-07-06,2.32,2023-08-22
95,yorkshire pudding,2023-08-20,2.4,2023-09-18
96,rice cake,2023-08-21,5.78,2023-10-22
97,champagne,2023-08-02,8.69,2023-10-24
98,cardamom,2023-08-14,0.59,2023-10-03
99,natal plum,2023-07-01,3.42,2023-07-30
100,jabuticaba,2023-06-28,5.36,2023-07-11
101,organic sausage,2023-08-01,4.21,2023-10-28
102,liver loaf,2023-06-09,0.85,2023-07-09
103,cooking oil,2023-08-11,2.36,2023-10-18
104,elderberry,2023-08-10,0.82,2023-09-03
105,complan powder,2023-07-09,6.51,2023-08-19
106,pate,2023-08-19,6.2,2023-09-10
107,elderberry,2023-06-09,8.38,2023-06-20
108,beef bourguignonne,2023-08-22,8.08,2023-10-16
109,cheeseburger,2023-08-01,4.57,2023-08-11
110,syrup,2023-07-18,8.74,2023-09-22
111,turbot,2023-06-12,7.77,2023-06-29
112,chilli con carne,2023-06-25,1.91,2023-08-09
113,consomme,2023-06-07,8.05,2023-06-27
114,boiled egg,2023-08-19,6.89,2023-10-10
115,evergreen huckleberry,2023-08-23,1.41,2023-11-28
116,veggie burger,2023-07-16,7.1,2023-09-02
117,chilli con carne,2023-06-09,2.56,2023-07-30
118,jabuticaba,2023-08-02,5.61,2023-09-24
119,poppy,2023-06-17,1.36,2023-09-15
120,ginger ale,2023-07-23,4.8,2023-10-08
121,champagne,2023-07-25,2.72,2023-09-04
122,risotto,2023-06-25,6.74,2023-08-03
123,champagne,2023-08-10,1.08,2023-10-13
124,boysenberry,2023-07-24,3.79,2023-09-25
125,pate,2023-06-20,5.01,2023-09-03
126,trout,2023-07-13,5.56,2023-08-31
127,cracker,2023-08-19,4.57,2023-11-21
128,peanut butter,2023-08-07,3.92,2023-09-16
129,greek yogurt,2023-08-02,6.09,2023-11-05
130,sparkleberry,2023-07-15,8.46,2023-10-18
131,pilau,2023-07-22,3.57,2023-08-02
132,cooking oil,2023-07-05,2.31,2023-07-21
133,chinese salted fish,2023-07-03,8.23,2023-09-11
134,cooking oil,2023-08-15,9.67,2023-11-02
135,cocoa butter alternative,2023-08-09,1.56,2023-11-16
136,boysenberry,2023-07-22,2.7,2023-09-16
137,poppy,2023-06-08,5.65,2023-08-16
138,donut,2023-07-12,8.95,2023-09-06
139,spinach,2023-08-15,9.85,2023-09-24
140,applewood bacon,2023-07-19,6.86,2023-09-30
141,peanut butter,2023-07-11,1.89,2023-09-04
142,risotto,2023-07-13,6.25,2023-09-30
143,dried mixed fruit,2023-08-16,9.9,2023-09-17
144,boysenberry,2023-08-22,9.44,2023-09-14
145,champagne,2023-08-18,5.87,2023-11-14
146,organic sausage,2023-08-07,2.95,2023-09-25
147,liver loaf,2023-08-16,3.95,2023-11-22
148,donut,2023-07-13,1.95,2023-10-05
149,jabuticaba,2023-08-18,0.56,2023-10-05
150,salt,2023-07-18,5.92,2023-09-06
151,donut,2023-07-02,0.89,2023-07-22
152,poppy,2023-06-12,9.24,2023-08-15
153,kitchen utensil,2023-06-26,5.23,2023-07-19
154,sparkleberry,2023-07-13,5.61,2023-08-05
155,passion fruit juice,2023-07-14,8.85,2023-08-25
156,complan powder,2023-06-19,7.8,2023-08-15
157,suet,2023-07-29,4.77,2023-10-12
158,greek yogurt,2023-07-14,9.05,2023-08-15
159,chilli con carne,2023-06-28,2.24,2023-07-18
160,spiny lobster,2023-06-13,2.47,2023-07-19
161,trout,2023-08-10,9.05,2023-09-05
162,canola,2023-08-13,9.45,2023-08-31
163,boiled egg,2023-08-20,7.4,2023-09-20
164,sparkleberry,2023-08-18,6.66,2023-11-23
165,fruit pastille,2023-06-14,8.18,2023-07-27
166,rice cake,2023-07-17,9.89,2023-09-27
167,donut,2023-06-27,7.44,2023-08-25
168,japanese chestnut,2023-07-08,3.71,2023-09-19
169,liver loaf,2023-06-08,8.78,2023-08-01
170,cooking oil,2023-06-20,7.29,2023-07-11
171,custard apple,2023-07-14,5.56,2023-09-04
172,syrup,2023-07-09,6.76,2023-07-28
173,flat bread,2023-08-03,8.05,2023-09-16
174,frijj,2023-08-19,4.26,2023-11-12
175,huckleberry,2023-08-16,9.65,2023-09-27
176,greek yogurt,2023-06-18,7.17,2023-06-30
177,cocoa butter alternative,2023-06-18,2.56,2023-08-11
178,hamburger,2023-06-19,9.88,2023-07-03
179,consomme,2023-06-09,7.28,2023-07-22
180,boysenberry,2023-06-10,5.48,2023-08-14
181,mint sauce,2023-07-09,9.28,2023-07-21
182,huckleberry,2023-07-13,3.09,2023-09-14
183,cracker,2023-06-16,6.02,2023-09-18
184,poppy,2023-07-22,6.71,2023-09-13
185,applewood bacon,2023-07-06,5.64,2023-09-06
186,elderberry,2023-07-01,7.08,2023-09-11
187,egg,2023-07-12,1.79,2023-07-29
188,chablis,2023-06-20,3.4,2023-09-14
189,elderberry,2023-07-26,5.28,2023-09-18
190,allspice,2023-08-10,6.18,2023-10-27
191,frijj,2023-08-13,5.89,2023-08-25
192,fodder,2023-08-13,8.51,2023-10-23
193,seasoning,2023-08-19,2.87,2023-09-02
194,huckleberry,2023-07-08,1.3,2023-08-06
195,pate,2023-07-04,3.76,2023-09-15
196,hamburger,2023-06-12,1.46,2023-07-25
197,spiny lobster,2023-06-22,2.97,2023-07-03
198,veggie burger,2023-07-22,2.57,2023-10-16
199,pilau,2023-07-27,4.69,2023-10-02
200,spiny lobster,2023-08-02,8.55,2023-08-23
201,allspice,2023-06-25,1.38,2023-09-29
202,cracker,2023-08-06,1.78,2023-09-10
203,jabuticaba,2023-08-06,3.77,2023-10-13
204,risotto,2023-08-13,6.76,2023-10-23
205,mint sauce,2023-06-18,6.45,2023-09-24
206,allspice,2023-07-10,8.25,2023-10-03
207,chablis,2023-06-16,5.97,2023-09-11
208,egg,2023-07-27,8.0,2023-08-31
209,cooking oil,2023-06-28,7.63,2023-08-19
210,guinea hen,2023-07-29,7.93,2023-10-10
211,chablis,2023-06-15,0.54,2023-07-31
212,ice cream bar,2023-08-04,6.94,2023-10-30
213,salt,2023-08-04,5.08,2023-08-22
214,boysenberry,2023-06-22,6.77,2023-07-07
215,cheese spread,2023-08-09,3.93,2023-10-04
216,greek yogurt,2023-07-25,1.6,2023-09-02
217,gem squash,2023-06-07,3.3,2023-06-20
218,cracker,2023-07-28,2.09,2023-10-22
219,complan powder,2023-07-14,3.46,2023-09-30
220,jabuticaba,2023-08-11,4.76,2023-11-14
221,prosciutto,2023-07-28,8.5,2023-09-17
222,cheeseburger,2023-06-07,5.32,2023-07-01
223,lobster,2023-06-09,4.04,2023-09-09
224,pilau,2023-06-08,0.65,2023-08-08
225,hamburger,2023-07-09,9.63,2023-08-21
226,japanese chestnut,2023-08-06,5.2,2023-10-15
227,guinea hen,2023-08-11,8.49,2023-09-18
228,cracker,2023-07-28,3.08,2023-10-20
229,liver loaf,2023-07-13,0.69,2023-09-12
230,flat bread,2023-07-19,6.62,2023-10-03
231,cardamom,2023-07-30,3.54,2023-09-12
232,risotto,2023-08-02,6.93,2023-09-16
233,applewood bacon,2023-08-09,4.55,2023-10-07
234,yorkshire pudding,2023-08-22,4.64,2023-10-25
235,allspice,2023-08-20,7.35,2023-11-16
236,pilau,2023-07-09,6.15,2023-08-22
237,fruit pastille,2023-06-18,1.23,2023-08-27
238,prosciutto,2023-08-03,9.08,2023-10-01
239,prosciutto,2023-08-04,9.19,2023-09-28
240,jackfruit,2023-06-24,7.68,2023-08-23
241,currant jelly,2023-06-16,3.51,2023-08-12
242,rice cake,2023-08-01,3.32,2023-09-12
243,mincemeat,2023-08-23,7.68,2023-11-11
244,cooking oil,2023-08-23,6.09,2023-10-13
245,mincemeat,2023-07-23,8.92,2023-08-14
246,chinese salted fish,2023-06-08,5.96,2023-08-13
247,spinach,2023-07-10,4.43,2023-07-24
248,beef bourguignonne,2023-06-08,7.78,2023-06-28
249,mincemeat,2023-07-31,5.43,2023-09-11
250,applewood bacon,2023-07-14,8.63,2023-10-01
251,boiled egg,2023-07-03,8.4,2023-08-14
252,mint sauce,2023-06-17,3.43,2023-07-22
253,ginger ale,2023-08-21,8.62,2023-08-31
254,champagne,2023-06-24,7.61,2023-09-28
255,seasoning,2023-07-12,3.19,2023-08-05
256,bacardi,2023-08-02,9.2,2023-10-14
257,spinach,2023-08-17,0.75,2023-11-06
258,boiled egg,2023-08-12,4.09,2023-10-17
259,turbot,2023-08-04,6.67,2023-10-11
260,suet,2023-08-16,9.27,2023-10-05
261,veggie burger,2023-06-15,7.59,2023-07-07
262,rice cake,2023-07-19,9.83,2023-08-26
263,spinach,2023-06-11,6.05,2023-06-29
264,passion fruit juice,2023-08-13,7.39,2023-09-26
265,guinea hen,2023-08-16,0.69,2023-09-01
266,seasoning,2023-06-09,8.43,2023-08-30
267,collard green,2023-06-27,8.0,2023-08-06
268,collard green,2023-08-19,7.68,2023-11-01
269,flat bread,2023-08-23,8.99,2023-09-22
270,rapini,2023-07-21,0.59,2023-09-18
271,currant jelly,2023-08-19,6.67,2023-11-05
272,liquor,2023-06-29,1.18,2023-08-25
273,custard apple,2023-07-02,4.91,2023-08-05
274,yorkshire pudding,2023-07-08,5.86,2023-10-04
275,huckleberry,2023-07-14,7.46,2023-09-19
276,allspice,2023-08-01,4.9,2023-10-14
277,huckleberry,2023-07-09,0.67,2023-10-10
278,guinea hen,2023-07-31,4.6,2023-08-23
279,spinach,2023-08-17,7.65,2023-10-30
280,peanut butter,2023-07-08,2.42,2023-07-23
281,cheese spread,2023-06-14,7.64,2023-06-26
282,cocoa butter alternative,2023-08-13,6.22,2023-11-14
283,chilli con carne,2023-07-16,3.63,2023-08-09
284,peanut butter,2023-07-31,7.83,2023-09-11
285,suet,2023-07-04,4.16,2023-09-13
286,dried mixed fruit,2023-07-28,7.91,2023-09-22
287,jackfruit,2023-08-11,8.06,2023-09-18
288,prosciutto,2023-06-28,4.87,2023-08-16
289,champagne,2023-08-02,8.07,2023-11-02
290,evergreen huckleberry,2023-07-23,4.78,2023-09-24
291,risotto,2023-07-27,1.82,2023-10-03
292,liquor,2023-06-19,5.4,2023-07-13
293,liquor,2023-08-23,5.94,2023-11-19
294,cow & gate premium,2023-07-21,0.91,2023-08-18
295,liver loaf,2023-08-13,5.34,2023-08-25
296,applewood bacon,2023-08-20,5.28,2023-10-09
297,chinese salted fish,2023-06-07,3.51,2023-06-21
298,jabuticaba,2023-08-09,9.4,2023-09-23
299,cheeseburger,2023-06-19,8.63,2023-08-23
300,evergreen huckleberry,2023-06-27,4.76,2023-08-14
301,sambar,2023-07-25,3.09,2023-10-22
302,liver loaf,2023-08-19,1.32,2023-10-06
303,salt,2023-06-11,7.63,2023-09-01
304,lobster,2023-08-04,5.15,2023-08-15
305,donut,2023-07-29,5.13,2023-10-20
306,japanese chestnut,2023-08-09,9.52,2023-11-15
307,cow & gate premium,2023-06-17,7.69,2023-09-22
308,pops ,2023-06-22,0.96,2023-09-09
309,rapini,2023-07-29,1.45,2023-08-29
310,prosciutto,2023-08-12,9.63,2023-10-10
311,cracker,2023-07-24,6.64,2023-08-19
312,yorkshire pudding,2023-08-11,9.41,2023-11-11
313,huckleberry,2023-07-05,7.26,2023-08-09
314,champagne,2023-06-23,6.78,2023-07-26
315,veggie burger,2023-06-22,4.55,2023-08-28
316,pops ,2023-06-17,6.94,2023-07-21
317,cooking oil,2023-08-17,1.78,2023-10-21
318,cheese spread,2023-07-20,9.45,2023-09-24
319,cardamom,2023-07-23,4.13,2023-08-17
320,elderberry,2023-08-19,8.55,2023-11-10
321,veggie burger,2023-08-08,6.27,2023-09-05
322,frijj,2023-06-29,9.7,2023-08-16
323,organic sausage,2023-08-23,3.72,2023-09-15
324,champagne,2023-06-16,8.39,2023-08-05
325,chablis,2023-06-25,8.45,2023-09-12
326,cracker,2023-06-21,1.65,2023-09-08
327,spinach,2023-07-24,9.82,2023-09-01
328,donut,2023-07-06,1.21,2023-10-10
329,lobster,2023-06-21,9.75,2023-08-27
330,pate,2023-07-21,8.09,2023-09-29
331,salt,2023-06-08,1.97,2023-07-30
332,kitchen utensil,2023-06-11,4.21,2023-08-18
333,liquor,2023-07-18,4.18,2023-09-24
334,pilau,2023-07-09,8.28,2023-10-06
335,currant jelly,2023-07-29,1.87,2023-10-17
336,cow & gate premium,2023-08-18,1.66,2023-08-30
337,rapini,2023-06-11,7.01,2023-08-03
338,guinea hen,2023-08-01,2.24,2023-10-30
339,pakora,2023-07-28,5.24,2023-10-18
340,dried mixed fruit,2023-07-01,4.38,2023-07-22
341,applewood bacon,2023-06-17,7.4,2023-07-13
342,applewood bacon,2023-06-13,2.99,2023-07-02
343,corned beef,2023-07-03,2.11,2023-08-07
344,cracker,2023-07-04,8.91,2023-09-18
345,sambar,2023-07-11,2.77,2023-10-02
346,currant jelly,2023-07-01,3.25,2023-08-31
347,beef bourguignonne,2023-06-08,3.26,2023-07-03
348,seasoning,2023-07-15,3.7,2023-09-15
349,natal plum,2023-07-22,7.69,2023-09-02
350,lobster,2023-08-19,8.55,2023-10-07
351,jabuticaba,2023-06-28,1.55,2023-08-31
352,fruit pastille,2023-07-29,5.34,2023-09-27
353,liquor,2023-07-22,0.55,2023-09-02
354,elderberry,2023-08-21,2.01,2023-11-28
355,kitchen utensil,2023-07-06,3.18,2023-07-24
356,consomme,2023-07-03,6.34,2023-09-23
357,seasoning,2023-08-03,2.45,2023-09-30
358,mincemeat,2023-07-23,3.03,2023-08-05
359,allspice,2023-06-25,3.32,2023-08-02
360,pate,2023-07-03,4.23,2023-08-10
361,organic sausage,2023-07-27,5.98,2023-08-31
362,lobster,2023-06-16,4.72,2023-07-10
363,spinach,2023-06-08,9.01,2023-07-30
364,kitchen utensil,2023-08-05,0.96,2023-08-15
365,trout,2023-07-25,4.66,2023-08-31
366,chinese salted fish,2023-07-16,2.1,2023-09-11
367,spinach,2023-07-14,1.0,2023-08-25
368,flat bread,2023-06-28,0.67,2023-09-16
369,liquor,2023-08-04,8.41,2023-10-07
370,ice cream bar,2023-07-21,4.19,2023-09-08
371,cracker,2023-06-09,1.1,2023-07-28
372,liver loaf,2023-08-02,6.01,2023-08-26
373,fodder,2023-06-14,3.09,2023-09-17
374,natal plum,2023-08-08,5.54,2023-10-11
375,beef bourguignonne,2023-07-18,2.52,2023-09-06
376,yorkshire pudding,2023-06-29,9.94,2023-08-20
377,chablis,2023-07-08,8.21,2023-09-12
378,liquor,2023-07-11,7.23,2023-09-05
379,jabuticaba,2023-07-24,6.75,2023-09-05
380,cooking oil,2023-07-08,5.13,2023-09-26
381,rice cake,2023-06-30,5.76,2023-08-20
382,pilau,2023-07-19,2.41,2023-10-09
383,dried mixed fruit,2023-06-24,4.3,2023-08-20
384,organic sausage,2023-06-25,4.94,2023-08-31
385,cheese spread,2023-08-04,6.46,2023-09-27
386,fruit pastille,2023-08-02,9.38,2023-10-05
387,canola,2023-07-15,4.81,2023-08-19
388,boiled egg,2023-08-09,7.0,2023-09-12
389,complan powder,2023-06-14,4.11,2023-07-02
390,japanese chestnut,2023-07-03,7.4,2023-09-18
391,pate,2023-08-04,1.49,2023-10-24
392,passion fruit juice,2023-08-20,9.82,2023-09-28
393,allspice,2023-07-24,1.32,2023-10-15
394,veggie burger,2023-06-29,2.64,2023-10-06
395,dried mixed fruit,2023-07-07,0.54,2023-07-22
396,allspice,2023-07-22,8.52,2023-09-06
397,sambar,2023-08-13,4.89,2023-08-24
398,fodder,2023-08-18,8.33,2023-10-02
399,jackfruit,2023-07-12,3.53,2023-07-28
400,champagne,2023-06-15,0.95,2023-08-17
401,jabuticaba,2023-07-16,0.98,2023-08-26
402,allspice,2023-06-18,4.35,2023-08-28
403,canola,2023-06-12,0.62,2023-08-31
404,egg,2023-06-09,8.67,2023-07-07
405,jackfruit,2023-06-21,6.74,2023-08-24
406,jackfruit,2023-08-01,8.41,2023-08-27
407,peanut butter,2023-08-12,5.75,2023-09-07
408,peanut butter,2023-06-16,8.99,2023-08-06
409,cheeseburger,2023-08-14,5.01,2023-09-19
410,egg,2023-06-13,7.36,2023-07-25
411,japanese chestnut,2023-07-10,2.94,2023-10-16
412,beef bourguignonne,2023-06-19,9.35,2023-09-23
413,fruit pastille,2023-07-19,4.14,2023-08-13
414,cooking oil,2023-06-26,1.02,2023-07-26
415,cheeseburger,2023-07-24,2.96,2023-09-29
416,fodder,2023-07-20,5.67,2023-09-14
417,evergreen huckleberry,2023-08-17,3.88,2023-09-17
418,sparkleberry,2023-07-06,3.47,2023-09-10
419,peanut butter,2023-08-11,4.54,2023-11-05
420,guinea hen,2023-08-23,5.68,2023-09-28
421,canola,2023-06-19,1.06,2023-09-05
422,jackfruit,2023-08-03,8.57,2023-10-07
423,ice cream bar,2023-08-03,6.28,2023-10-06
424,risotto,2023-06-14,2.26,2023-07-15
425,pakora,2023-08-08,3.58,2023-10-11
426,huckleberry,2023-08-07,6.75,2023-10-10
427,ice cream bar,2023-07-21,5.88,2023-08-13
428,cheese spread,2023-08-19,2.64,2023-09-11
429,risotto,2023-08-05,6.85,2023-08-20
430,chinese salted fish,2023-06-14,3.63,2023-08-21
431,risotto,2023-07-25,6.71,2023-08-30
432,prosciutto,2023-07-21,3.54,2023-08-02
433,collard green,2023-07-10,6.3,2023-10-14
434,sparkleberry,2023-08-12,7.1,2023-10-18
435,spinach,2023-07-29,2.26,2023-09-27
436,suet,2023-08-07,7.01,2023-08-23
437,turbot,2023-06-30,0.52,2023-08-10
438,rice cake,2023-07-20,7.92,2023-09-25
439,kitchen utensil,2023-08-16,1.43,2023-10-29
440,frijj,2023-06-18,1.13,2023-08-21
441,suet,2023-06-30,0.79,2023-07-31
442,evergreen huckleberry,2023-06-30,2.72,2023-07-12
443,egg,2023-07-05,7.8,2023-08-09
444,frijj,2023-07-24,6.23,2023-09-11
445,suet,2023-07-25,8.41,2023-10-25
446,fodder,2023-06-10,6.11,2023-09-17
447,huckleberry,2023-08-12,5.31,2023-09-04
448,jabuticaba,2023-06-11,2.66,2023-08-03
449,guinea hen,2023-07-29,8.48,2023-10-07
450,pakora,2023-06-27,3.24,2023-09-01
451,pilau,2023-08-10,6.4,2023-09-27
452,gem squash,2023-08-08,3.02,2023-09-18
453,rice cake,2023-07-02,6.88,2023-08-24
454,veggie burger,2023-08-09,4.91,2023-10-01
455,peanut butter,2023-07-30,1.7,2023-08-11
456,mint sauce,2023-08-15,1.59,2023-11-15
457,trout,2023-07-14,2.94,2023-09-14
458,beef bourguignonne,2023-06-21,2.49,2023-09-15
459,organic sausage,2023-06-21,3.59,2023-07-29
460,applewood bacon,2023-08-01,4.7,2023-09-08
461,canola,2023-08-07,8.67,2023-10-20
462,guinea hen,2023-08-04,5.62,2023-09-13
463,cheese spread,2023-07-06,5.69,2023-10-02
464,pilau,2023-08-03,5.91,2023-10-05
465,pakora,2023-07-23,3.97,2023-10-28
466,cheeseburger,2023-06-22,8.99,2023-08-18
467,organic sausage,2023-06-16,8.37,2023-08-05
468,risotto,2023-07-17,8.97,2023-09-16
469,consomme,2023-06-11,6.08,2023-07-14
470,kitchen utensil,2023-07-04,0.91,2023-07-15
471,cheese spread,2023-08-09,4.86,2023-10-18
472,turbot,2023-07-15,2.86,2023-08-22
473,mincemeat,2023-08-05,3.26,2023-11-06
474,hamburger,2023-07-05,6.88,2023-09-15
475,pilau,2023-06-28,2.43,2023-07-20
476,poppy,2023-06-10,4.36,2023-08-23
477,boysenberry syrup,2023-06-11,2.48,2023-08-13
478,cardamom,2023-06-09,8.86,2023-08-19
479,turbot,2023-06-22,6.34,2023-07-31
480,dried mixed fruit,2023-07-20,7.12,2023-10-25
481,boiled egg,2023-08-06,5.88,2023-11-05
482,sparkleberry,2023-08-06,7.14,2023-10-14
483,fruit pastille,2023-06-28,1.91,2023-09-24
484,boiled egg,2023-07-14,2.64,2023-09-13
485,syrup,2023-08-10,3.11,2023-09-28
486,pops ,2023-07-18,4.77,2023-10-01
487,currant jelly,2023-08-03,1.72,2023-10-29
488,trout,2023-06-24,5.06,2023-09-17
489,spiny lobster,2023-06-19,9.24,2023-09-23
490,peanut butter,2023-07-12,8.09,2023-10-13
491,rice cake,2023-06-10,5.73,2023-09-06
492,jackfruit,2023-07-02,9.93,2023-07-31
493,donut,2023-06-23,7.13,2023-07-26
494,lobster,2023-07-16,8.54,2023-08-04
495,flat bread,2023-07-06,8.09,2023-07-18
496,beef bourguignonne,2023-07-20,9.07,2023-09-12
497,ice cream bar,2023-06-08,4.11,2023-08-20
498,collard green,2023-07-13,6.45,2023-10-14
499,cracker,2023-06-27,8.01,2023-09-28
500,cheeseburger,2023-08-21,5.95,2023-09-08
501,risotto,2023-08-05,0.68,2023-10-31
502,pate,2023-08-21,4.45,2023-10-28
503,ice cream bar,2023-08-20,0.69,2023-09-02
504,canola,2023-07-13,8.8,2023-08-17
505,passion fruit juice,2023-06-12,8.56,2023-09-19
506,evergreen huckleberry,2023-07-12,9.52,2023-10-18
507,pate,2023-07-23,4.74,2023-08-24
508,pilau,2023-07-01,5.08,2023-07-28
509,cocoa butter alternative,2023-06-27,1.68,2023-07-26
510,boysenberry syrup,2023-07-13,4.59,2023-08-04
511,dried mixed fruit,2023-06-28,3.64,2023-09-25
512,consomme,2023-08-20,0.58,2023-11-17
513,evergreen huckleberry,2023-07-11,2.38,2023-09-24
514,cheeseburger,2023-07-28,1.99,2023-09-17
515,elderberry,2023-06-07,7.65,2023-07-05
516,fodder,2023-08-07,1.12,2023-10-04
517,chinese salted fish,2023-07-01,3.95,2023-09-24
518,yorkshire pudding,2023-06-17,3.91,2023-07-15
519,evergreen huckleberry,2023-08-08,6.19,2023-09-03
520,egg,2023-07-24,9.72,2023-10-06
521,boysenberry,2023-08-10,2.54,2023-10-20
522,guinea hen,2023-06-25,2.96,2023-07-21
523,cheese spread,2023-08-07,2.56,2023-09-09
524,cardamom,2023-06-26,7.42,2023-09-09
525,poppy,2023-07-08,2.26,2023-09-26
526,corned beef,2023-07-25,7.83,2023-10-19
527,trout,2023-06-17,3.5,2023-07-16
528,boiled egg,2023-08-03,5.78,2023-08-24
529,turbot,2023-08-12,6.02,2023-08-23
530,frijj,2023-08-23,4.36,2023-11-13
531,gem squash,2023-08-13,6.4,2023-09-18
532,cooking oil,2023-06-26,3.41,2023-08-29
533,guinea hen,2023-08-09,2.5,2023-09-16
534,currant jelly,2023-06-16,8.83,2023-07-13
535,turbot,2023-07-06,5.9,2023-10-04
536,poppy,2023-08-05,9.67,2023-10-30
537,bacardi,2023-07-05,7.83,2023-09-19
538,fodder,2023-07-28,4.74,2023-09-04
539,ice cream bar,2023-07-10,7.36,2023-09-15
540,lobster,2023-07-01,6.79,2023-07-13
541,pakora,2023-07-03,1.44,2023-09-26
542,cardamom,2023-06-13,9.16,2023-07-26
543,donut,2023-06-21,7.26,2023-09-06
544,cracker,2023-07-07,6.56,2023-10-06
545,sambar,2023-06-20,6.89,2023-09-08
546,boysenberry,2023-06-18,4.02,2023-08-08
547,liver loaf,2023-07-11,9.97,2023-09-20
548,evergreen huckleberry,2023-08-19,8.99,2023-10-08
